"Relative","Count","SrcBytes"
"BLDA\CharFace\CFID_6\CharID_6","156","5160488"
"BLDA\CharFace\CFID_6\CharID_68-251","224","3134086"
"BLDA\CharFace\CFID_6\CharID_69-151","244","6122276"
"BLDA\CharFace\CFID_6\CharID_7","130","3864902"
"BLDA\CharFace\CFID_6\CharID_76","387","10493664"
"BLDA\CharFace\CFID_6\CharID_8","104","3505980"
"BLDA\CharFace\CFID_6\CharID_82-143","172","5444240"
"BLDA\CharFace\CFID_6\CharID_83-182","103","2939262"
"BLDA\CharFace\CFID_6\CharID_84-166","90","3416068"
"BLDA\CharFace\CFID_6\CharID_84-170","113","2965880"
"BLDA\CharFace\CFID_6\CharID_87","73","2866560"
"BLDA\CharFace\CFID_6\CharID_88","88","3157944"
"BLDA\CharFace\CFID_6\CharID_89-273","234","7209992"
"BLDA\CharFace\CFID_6\CharID_9","28","660466"
"BLDA\CharFace\CFID_6\CharID_92","74","1557578"
"BLDA\CharFace\CFID_6\CharID_93-153","116","2873074"
"BLDA\CharFace\CFID_6\CharID_93-234","305","7367826"
"BLDA\CharFace\CFID_6\CharID_94-152","105","3535698"
"BLDA\CharFace\CFID_6\CharID_94-158","91","2272116"
"BLDA\CharFace\CFID_6\CharID_94-235","287","8080260"
"BLDA\CharFace\CFID_6\CharID_94-259","416","7324400"
"BLDA\CharFace\CFID_6\CharID_95","99","3355846"
"BLDA\CharFace\CFID_6\CharID_95-163","142","3693136"
"BLDA\CharFace\CFID_6\CharID_95-236","277","8668956"
"BLDA\CharFace\CFID_6\CharID_96","79","2834532"
"BLDA\CharFace\CFID_6\CharID_96-164","88","2654812"
"BLDA\CharFace\CFID_6\CharID_96-237","288","10890604"
"BLDA\CharFace\CFID_6\CharID_97","70","2925112"
"BLDA\CharFace\CFID_6\CharID_97-159","66","2222068"
"BLDA\CharFace\CFID_6\CharID_97-238","278","10001548"
"BLDA\CharFace\CFID_6\CharID_98","65","2088798"
"BLDA\CharFace\CFID_6\CharID_99","321","8214268"
"BLDA\CharFace\CFID_6\CharID_99-229","443","8830484"
"BLDA\CharFace\CFID_6\CharID_99-244","297","7755128"
"BLDA\CharFace\CFID_6\CharID_99-268","478","13915984"
"BLDA\CharFace\CFID_7\CharID_151","25","453404"
"BLDA\CharFace\CFID_7\CharID_5","55","766768"
"BLDA\CharFace\CFID_8\CharID_115-165","125","3290726"
"BLDA\CharFace\CFID_9\CharID_84-171","58","1829082"
"BLDA\CharFace\CH0058","14","522114"
"BLDA\CharFace\CH0060","14","532076"
"BLDA\CharFace\CH0063","14","369204"
"BLDA\CharFace\CH0064","13","405966"
"BLDA\CharFace\CH0066","33","990496"
"BLDA\CharFace\CH0069","33","1056476"
"BLDA\CharFace\CH0070","13","313490"
"BLDA\CharFace\CH0071","24","666724"
"BLDA\CharFace\CH0079","18","458102"
"BLDA\CharFace\CH0080","15","493200"
"BLDA\CharFace\CH0082","10","285672"
"BLDA\CharFace\CH0086","11","322316"
"BLDA\CharFace\CH0087","16","516606"
"BLDA\CharFace\CH0088","11","455368"
"BLDA\CharFace\CH0089","19","517478"
"BLDA\CharFace\CH0092","26","710992"
"BLDA\CharFace\CH0095","11","283472"
"BLDA\CharFace\CH0098","12","407424"
"BLDA\CharFace\CH0099","10","391828"
"BLDA\CharFace\CH0100","11","377362"
"BLDA\CharFace\CH0101","13","557806"
"BLDA\CharFace\CH0107","21","717648"
"BLDA\CharFace\CH0109","16","503018"
"BLDA\CharFace\CH0110","22","648320"
"BLDA\CharFace\CH0113","12","377828"
"BLDA\CharFace\CH0114","11","346712"
"BLDA\CharFace\CH0123","13","455766"
"BLDA\CharFace\CH0124","20","829796"
"BLDA\CharFace\CH0125","13","557920"
"BLDA\CharFace\CH0135","11","366918"
"BLDA\CharFace\CH0137","16","474976"
"BLDA\CharFace\CH0138","20","584714"
"BLDA\CharFace\CH0139","22","555326"
"BLDA\CharFace\CH0141","14","579606"
"BLDA\CharFace\CH0144","32","984964"
"BLDA\CharFace\CH0145","16","415776"
"BLDA\CharFace\CH0152","13","438290"
"BLDA\CharFace\CH0155","11","405642"
"BLDA\CharFace\CH0156","11","258096"
"BLDA\CharFace\CH0157","25","751752"
"BLDA\CharFace\CH0158","13","194904"
"BLDA\CharFace\CH0159","15","404764"
"BLDA\CharFace\CH0160","10","320860"
