"Relative","Count","SrcBytes","DstBytes","ExitCode"
"GameData\BLDA\CharFace\CH0066","33","990496","57888","0"
"GameData\BLDA\CharFace\CH0069","33","1056476","69422","0"
"GameData\BLDA\CharFace\CH0070","13","313490","28515","0"
"GameData\BLDA\CharFace\CH0071","24","666724","45316","0"
"GameData\BLDA\CharFace\CH0079","18","458102","36315","0"
"GameData\BLDA\CharFace\CH0080","15","493200","44746","0"
"GameData\BLDA\CharFace\CH0082","10","285672","34928","0"
"GameData\BLDA\CharFace\CH0086","11","322316","40241","0"
"GameData\BLDA\CharFace\CH0087","16","516606","48110","0"
"GameData\BLDA\CharFace\CH0088","11","455368","59568","0"
"GameData\BLDA\CharFace\CH0089","19","517478","39898","0"
"GameData\BLDA\CharFace\CH0092","26","710992","52721","0"
"GameData\BLDA\CharFace\CH0095","11","283472","32741","0"
"GameData\BLDA\CharFace\CH0098","12","407424","38450","0"
"GameData\BLDA\CharFace\CH0099","10","391828","41890","0"
"GameData\BLDA\CharFace\CH0100","11","377362","37430","0"
"GameData\BLDA\CharFace\CH0101","13","557806","51475","0"
"GameData\BLDA\CharFace\CH0107","21","717648","49492","0"
"GameData\BLDA\CharFace\CH0109","16","503018","41130","0"
"GameData\BLDA\CharFace\CH0110","22","648320","51738","0"
"GameData\BLDA\CharFace\CH0113","12","377828","41213","0"
"GameData\BLDA\CharFace\CH0114","11","346712","39167","0"
"GameData\BLDA\CharFace\CH0123","13","455766","46089","0"
"GameData\BLDA\CharFace\CH0124","20","829796","64704","0"
"GameData\BLDA\CharFace\CH0125","13","557920","56399","0"
"GameData\BLDA\CharFace\CH0135","11","366918","44252","0"
"GameData\BLDA\CharFace\CH0137","16","474976","42757","0"
"GameData\BLDA\CharFace\CH0138","20","584714","39146","0"
"GameData\BLDA\CharFace\CH0139","22","555326","39443","0"
"GameData\BLDA\CharFace\CH0141","14","579606","53633","0"
"GameData\BLDA\CharFace\CH0144","32","984964","71330","0"
"GameData\BLDA\CharFace\CH0145","16","415776","38591","0"
"GameData\BLDA\CharFace\CH0152","13","438290","45808","0"
"GameData\BLDA\CharFace\CH0155","11","405642","41767","0"
"GameData\BLDA\CharFace\CH0156","11","258096","32856","0"
"GameData\BLDA\CharFace\CH0157","25","751752","53685","0"
"GameData\BLDA\CharFace\CH0158","13","194904","23814","0"
